Product Name,Price,Description,Rating,RAM_GB,ROM_GB,Screen_cm,Rear_Camera_MP,Front_Camera_MP,Battery_mAh,Is_5G,Price_INR,Brand
"Tecno Spark 30C 5G (Midnight Shadow, 64 GB)","₹9,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Display48MP Rear Camera | 8MP Front Camera5000 mAh BatteryDimensity 6300 5G Processor1 Year Manufacturer Warranty for Phone,4.0,4.0,64.0,16.94,48.0,8.0,5000.0,1.0,9999.0,Tecno
"realme C63 (Leather Blue, 64 GB)","₹7,999",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5000 mAh BatteryT612 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.2,4.0,64.0,17.13,50.0,8.0,5000.0,0.0,7999.0,realme
"itel A90 (Aurora Blue, 64 GB)","₹7,499",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD Display13MP Rear Camera | 5MP Front Camera5000 mAh BatteryUnisoc T7100 Processor1 year manufacturer Warranty,5.0,4.0,64.0,16.76,13.0,5.0,5000.0,0.0,7499.0,itel
"Motorola e13 (Cosmic Black, 64 GB)","₹9,999",2 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) HD+ Display13MP Rear Camera | 5MP Front Camera5000 mAh BatteryUnisoc T606 Processor1 Year on Handset and 6 Months on Accessories,5.0,2.0,64.0,16.51,13.0,5.0,5000.0,0.0,9999.0,Motorola
"Tecno Spark 30C 5G (Azure Sky, 64 GB)","₹9,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Display48MP Rear Camera | 8MP Front Camera5000 mAh BatteryDimensity 6300 5G Processor1 Year Manufacturer Warranty for Phone,3.9,4.0,64.0,16.94,48.0,8.0,5000.0,1.0,9999.0,Tecno
"Samsung Galaxy A05s (Light Green, 128 GB)","₹9,990",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP + 2MP | 13MP Front Camera5000 mAh Battery680 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.0,4.0,128.0,17.07,42.8,13.0,5000.0,0.0,9990.0,Samsung
"REDMI A2+ (Aqua Blue, 128 GB)","₹6,322","4 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.56 cm (6.52 inch) HD+ Display8MP + 8MP | 5MP + 5MP Dual Front Camera5000 mAh BatteryOCTA CORE Processor1 Year and 6 months for Battery,Accessories",3.0,4.0,128.0,16.56,9.0,8.0,5000.0,0.0,6322.0,Redmi
"Tecno Spark 10 (Magic Skin Orange, 128 GB)","₹9,299",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) HD Display50MP Rear Camera | 8MP Front Camera5000 mAh BatteryMediatek Helio G37 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.2,8.0,128.0,16.76,50.0,8.0,5000.0,0.0,9299.0,Tecno
"Infinix Hot 50 5G (Sage Green, 128 GB)","₹10,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.02 cm (6.7 inch) HD+ Display48MP + Depth Sensor | 8MP Front Camera5000 mAh Lithium-ion Polymer BatteryDimensity 6300 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.0,8.0,128.0,17.02,50.0,8.0,5000.0,0.0,10999.0,Infinix
"Samsung Galaxy M04 (Light Green, 64 GB)","₹8,999",4 GB RAM | 64 GB ROM16.51 cm (6.5 inch) HD+ Display13MP + 2MP | 5MP Front Camera5000 mAh BatteryMediaTek Helio P35 Processor1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,5.0,4.0,64.0,16.51,27.8,5.0,5000.0,0.0,8999.0,Samsung
